,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
660,1.57,1.35,0.36810000000000004,0.264,0.2377,0.6475,39.39,9.14,54.56,0.2675,2.72,1.33,0.66,0.12,1.79,93.95,0.1393,0.6041,1.35,0.0529,0.08839999999999999,0
336,2.27,0.89,1.0878,0.0755,0.06709999999999999,0.59,56.31,4.79,64.19,0.2305,5.96,2.4,-2.95,2.66,1.31,120.5,0.204,0.6779000000000001,0.89,0.0178,0.08199999999999999,0
1414,1.1,0.97,3.7318000000000002,0.0304,0.0297,0.1327,79.91,1.13,45.42,0.28800000000000003,4.46,2.09,0.5,0.29,1.46,125.34,0.1729,0.5222,0.97,0.0645,0.1894,0
319,2.44,0.87,0.1971,0.038,0.037200000000000004,0.1251,46.53,3.87,33.1,0.0828,3.36,0.98,-0.61,1.29,1.35,79.63,0.109,0.6979000000000001,0.87,0.0108,0.0635,0
1159,0.56,1.06,-0.81,0.0060999999999999995,0.006,0.0222,68.62,3.93,74.84,-0.8131999999999999,3.68,0.83,0.04,1.61,1.8,143.46,0.0192,0.3558,1.06,0.004699999999999999,0.1464,0
326,2.34,0.86,0.0501,0.0151,0.0149,0.07,51.2,1.76,51.92,0.19219999999999998,4.83,1.31,-1.46,2.37,1.32,103.12,0.2137,0.6934999999999999,0.86,0.0097,0.0739,0
1108,0.68,1.74,-0.1746,0.0336,0.0331,0.113,70.83,5.08,76.12,-0.3185,3.41,0.35,0.4,1.84,1.68,146.95,0.1384,0.3954,1.09,0.0275,0.22329999999999997,0
494,0.56,1.37,4.8328,0.031200000000000002,0.031200000000000002,0.2218,195.16,0.92,89.91,1.9931,3.73,1.99,0.71,0.23,1.8,285.07,-0.3345,0.3529,1.37,0.0541,0.5382,0
1374,0.78,1.0,0.0027,0.0199,0.02,0.0439,59.04,1.52,29.4,0.0003,2.19,0.3,0.09,0.79,1.58,88.45,0.0794,0.43310000000000004,1.0,0.0258,0.1533,0
183,0.82,0.65,0.2327,0.13470000000000001,0.1288,0.9177,115.19,3.13,23.61,0.3074,7.13,3.3,1.12,2.48,1.54,138.8,0.1839,0.4495,0.65,0.056600000000000004,0.4053,0
1189,0.63,1.07,0.2232,0.0096,0.0096,0.0556,74.24,1.21,56.8,0.4339,5.81,2.51,0.01,1.6,2.01,131.04,0.1388,0.3823,1.12,0.0181,0.17800000000000002,0
1329,1.92,0.47,1.1719,0.15789999999999998,0.1464,0.152,461.48,0.78,47.64,1.112,1.04,-4.49,0.36,4.33,0.91,509.12,61.815200000000004,0.6570999999999999,0.35,0.09210000000000002,0.2161,0
1455,3.18,0.85,0.2377,0.20149999999999998,0.18309999999999998,0.62,70.25,5.12,129.06,4.4085,3.39,1.48,-1.49,0.89,1.35,199.32,0.23579999999999998,0.7608,0.85,0.0304,0.10300000000000001,0
49,0.7,0.23,-0.7687,0.0042,0.0042,0.03,412.61,0.87,62.27,-1.9121000000000001,6.83,1.87,-0.21,3.83,1.31,474.88,-0.1074,0.4028,0.23,0.0075,0.2601,1
352,2.56,0.91,0.1231,0.1125,0.10300000000000001,1.27,45.53,5.93,87.49,0.0521,11.17,5.72,-1.55,4.29,1.24,133.02,0.1466,0.6892,0.93,0.0276,0.0821,0
1367,0.79,0.98,0.1247,0.0414,0.0417,0.0792,60.33,2.98,31.28,0.0645,2.66,0.53,0.13,1.03,1.54,91.61,0.0983,0.4371,0.98,0.027999999999999997,0.1748,0
674,1.25,1.25,0.228,0.1125,0.10949999999999999,0.5096,31.05,5.8,65.46,0.20929999999999999,4.66,3.09,0.37,0.11,1.61,96.52,0.1534,0.5447,1.25,0.0453,0.0816,0
178,1.25,0.77,0.11359999999999999,0.1217,0.1167,0.607,122.81,2.2,26.07,0.10369999999999999,5.2,2.85,0.05,1.11,1.69,148.87,0.2353,0.5554,0.77,0.0564,0.4094,0
632,1.43,1.59,0.2504,0.0765,0.0756,0.246,69.37,5.19,62.79,0.19820000000000002,3.26,0.2,0.004,1.84,1.66,132.16,0.2028,0.5694,1.1,0.0222,0.10869999999999999,0
456,1.38,1.34,0.5005,0.04650000000000001,0.044500000000000005,0.069,139.93,2.57,74.05,-0.2588,1.55,0.21,0.16,0.15,1.39,213.98,0.256,0.4432,0.97,0.0632,0.40619999999999995,0
