,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
1040,0.53,1.82,-0.365,0.0263,0.0253,0.0886,109.72,2.46,308.18,-0.7354,3.5,0.81,-0.04,1.61,2.28,417.91,-0.0373,0.3428,1.82,0.0771,0.4061,1
601,3.05,1.17,0.2982,0.0806,0.0787,0.74,34.43,5.23,117.26,0.2353,9.4,4.96,-1.28,2.94,1.47,151.69,0.3036,0.6745,1.17,0.0363,0.0993,0
1085,1.78,1.25,0.1229,0.039900000000000005,0.0392,0.57,41.28,2.18,156.44,0.114,14.22,7.09,-2.4,5.42,1.59,197.72,0.151,0.6262,1.34,0.054000000000000006,0.1253,0
1205,2.0,0.79,0.6999,0.024399999999999998,0.0241,0.1,101.44,0.89,137.17,0.8929,4.04,1.21,-0.0077,1.77,1.2,238.62,0.7058,0.6243,0.79,0.0698,0.2681,0
333,2.37,0.78,0.2623,0.08289999999999999,0.07769999999999999,0.54,57.96,6.21,49.34,0.43079999999999996,5.49,1.96,0.26,2.42,1.27,107.3,0.2413,0.6899,0.78,0.0147,0.0784,0
480,0.99,0.98,0.1974,0.2144,0.2097,0.5757,106.38,3.38,27.5,0.13949999999999999,4.12,1.69,0.42,0.34,1.38,133.88,0.139,0.4765,0.98,0.11289999999999999,0.4961,0
1215,1.9,0.78,-0.1925,0.0809,0.0759,0.41,90.84,2.97,158.67,-0.2271,5.17,2.4,0.24,1.68,1.12,249.51,-0.0516,0.5996,0.82,0.0718,0.2554,0
968,1.09,0.93,0.8190000000000001,0.07690000000000001,0.078,0.16,67.6,5.33,45.18,0.6002000000000001,2.04,0.51,0.3,0.06,1.71,112.78,0.061900000000000004,0.518,0.93,0.0403,0.2071,0
579,0.72,1.5,0.024,0.060599999999999994,0.0596,0.2717,27.47,13.11,82.69,0.2763,4.56,1.43,-0.15,1.91,1.83,110.15,0.4178,0.41259999999999997,1.5,0.027000000000000003,0.08689999999999999,0
1345,0.48,0.62,0.0816,0.0678,0.0611,0.089,94.06,3.83,13.86,-0.0274,1.46,-0.11,0.09,0.53,1.57,107.92,0.10289999999999999,0.32289999999999996,0.48,0.0236,0.19829999999999998,0
38,0.66,0.51,0.1054,0.0113,0.011200000000000002,0.07,611.83,0.15,76.91,0.12960000000000002,6.46,1.55,-0.06,3.83,2.15,688.74,-0.11,0.39189999999999997,0.51,0.08539999999999999,0.33990000000000004,1
47,0.71,0.28,-0.3882,0.005,0.005,0.03,440.74,0.41,70.99,-1.1967,6.84,1.88,-0.27,3.83,1.27,511.73,-0.0821,0.4068,0.28,0.018500000000000003,0.2692,1
1072,1.14,1.3,0.2504,0.1204,0.115,1.55,41.87,8.6,127.59,0.2619,18.87,5.58,-1.8,11.6,1.73,169.47,0.24969999999999998,0.5276,1.3,0.0453,0.09609999999999999,0
588,2.29,1.0,-0.6942,0.0291,0.0287,0.16,42.13,2.14,129.05,0.7568,5.52,2.7,0.18,1.49,1.26,171.18,0.5674,0.6338,1.0,0.0384,0.1349,0
1341,1.12,0.45,0.0171,0.06709999999999999,0.0649,0.082,119.4,3.02,19.44,0.0836,1.27,-4.25,0.02,4.33,0.91,138.84,0.076,0.5277000000000001,0.33,0.0241,0.21850000000000003,0
179,0.93,1.13,0.1962,0.1602,0.1144,0.812,119.13,3.02,23.25,0.15289999999999998,6.51,2.75,0.69,2.48,1.89,142.38,0.2403,0.48310000000000003,1.13,0.0545,0.4152,0
167,0.41,1.63,0.23440000000000003,0.1893,0.14279999999999998,1.305,93.79,3.84,18.85,0.2561,8.0,3.48,0.68,3.22,2.8,112.64,0.2486,0.2919,1.63,0.0666,0.4044,0
1038,0.53,1.53,-0.2314,0.0076,0.0075,0.03,109.8,0.82,297.72,-0.4648,3.41,0.77,-0.15,1.57,2.0,407.51,0.1,0.3418,1.53,0.0661,0.38659999999999994,1
703,1.11,0.98,0.2954,0.1097,0.1056,1.7251,28.24,9.56,46.44,0.3357,16.33,11.39,0.4,3.11,1.88,74.68,0.17800000000000002,0.49670000000000003,1.6,0.0414,0.0775,0
815,1.51,0.49,0.1445,0.172,0.1582,0.69,115.13,1.56,10.7,0.1124,4.36,3.02,0.71,0.14,1.13,125.83,0.1865,0.5954999999999999,0.49,0.0708,0.39770000000000005,0
